user_id,registered_dttm,male_flag,moscow_flag,age
69307,2023-05-30 02:33:11,1,1,30
67751,2023-05-30 05:10:52,0,0,29
69418,2023-05-30 07:22:29,0,0,32
80140,2023-05-30 08:59:34,0,1,18
37466,2023-05-30 10:03:52,1,1,26
54337,2023-05-30 10:26:14,1,0,26
57924,2023-05-30 10:27:02,1,0,36
76251,2023-05-30 14:17:12,1,1,35
96301,2023-05-30 14:21:37,0,0,23
81366,2023-05-30 14:56:41,1,1,23
64518,2023-05-30 15:19:55,0,1,34
69949,2023-05-30 15:56:52,0,1,29
1186,2023-05-30 20:36:07,0,0,28
48651,2023-05-30 20:45:57,0,0,33
88952,2023-05-30 22:03:00,1,0,32
56456,2023-05-31 00:45:15,0,1,31
53002,2023-05-31 01:01:11,0,0,40
65409,2023-05-31 04:19:34,1,1,25
505,2023-05-31 05:23:29,1,1,32
67866,2023-05-31 06:38:24,0,1,37
55079,2023-05-31 06:56:18,1,0,22
50296,2023-05-31 09:00:35,0,0,30
9415,2023-05-31 10:45:15,0,1,35
19909,2023-05-31 11:01:47,0,1,32
56469,2023-05-31 11:10:01,0,0,24
74986,2023-05-31 11:11:54,0,1,31
3784,2023-05-31 12:34:36,0,0,24
68248,2023-05-31 12:37:13,1,1,27
53917,2023-05-31 12:58:13,1,1,34
56457,2023-05-31 15:07:12,0,0,30
1923,2023-05-31 16:12:59,1,0,26
6885,2023-05-31 20:39:37,1,0,33
85415,2023-05-31 20:41:07,0,0,35
79980,2023-05-31 23:25:47,1,1,24
97569,2023-05-31 23:30:00,1,0,39
44211,2023-05-31 23:49:36,0,1,30
87434,2023-06-01 01:24:53,1,0,30
97837,2023-06-01 01:24:57,0,0,35
1166,2023-06-01 02:02:31,1,1,30
45248,2023-06-01 02:31:51,1,0,28
64781,2023-06-01 04:25:54,1,0,33
94078,2023-06-01 05:14:49,1,0,28
64480,2023-06-01 07:48:31,0,1,23
57510,2023-06-01 07:52:38,1,0,37
31987,2023-06-01 08:54:04,0,0,28
24625,2023-06-01 09:40:37,1,1,31
86877,2023-06-01 10:02:08,0,1,28
53301,2023-06-01 11:01:09,0,1,26
71558,2023-06-01 11:38:45,1,0,35
23998,2023-06-01 13:20:12,0,0,34
73747,2023-06-01 14:36:03,1,1,22
37333,2023-06-01 14:47:06,0,1,31
41902,2023-06-01 15:08:25,0,1,35
76671,2023-06-01 16:26:26,1,0,26
76255,2023-06-01 18:11:12,0,0,18
86115,2023-06-01 18:15:53,1,0,26
64463,2023-06-01 18:51:25,1,1,35
18911,2023-06-01 21:36:30,1,0,34
71631,2023-06-02 00:13:26,1,0,23
34699,2023-06-02 03:54:40,1,0,28
98451,2023-06-02 07:06:51,0,1,42
24725,2023-06-02 08:01:29,0,0,31
24016,2023-06-02 08:07:39,1,0,35
97587,2023-06-02 08:22:48,1,1,28
39381,2023-06-02 09:03:44,1,1,28
79588,2023-06-02 09:06:22,0,0,33
99047,2023-06-02 09:06:22,1,0,23
90231,2023-06-02 09:12:20,0,1,21
138,2023-06-02 09:25:22,0,0,38
11298,2023-06-02 09:32:01,0,0,27
90348,2023-06-02 12:33:38,0,0,27
59007,2023-06-02 12:36:32,1,1,35
40827,2023-06-02 13:11:51,1,0,25
87104,2023-06-02 13:54:47,0,1,36
76350,2023-06-02 14:51:15,1,1,25
69084,2023-06-02 16:53:22,0,1,18
31063,2023-06-02 17:05:02,1,0,22
16937,2023-06-02 18:27:17,1,1,43
84693,2023-06-02 19:02:10,1,0,30
86966,2023-06-02 19:19:14,0,0,25
23207,2023-06-02 19:34:47,1,0,27
6183,2023-06-02 19:45:35,1,1,25
3092,2023-06-02 20:17:12,1,1,31
3353,2023-06-02 21:19:09,0,0,30
91359,2023-06-02 21:39:29,1,1,34
3180,2023-06-02 21:48:02,0,1,18
97348,2023-06-02 22:12:46,1,0,25
76071,2023-06-03 00:59:56,1,1,28
21151,2023-06-03 01:17:41,1,0,35
18641,2023-06-03 01:33:28,1,0,28
79482,2023-06-03 08:00:57,0,0,29
24843,2023-06-03 08:16:10,1,0,21
21724,2023-06-03 09:58:54,0,0,36
10884,2023-06-03 10:18:22,1,0,38
86650,2023-06-03 11:28:07,1,0,29
19543,2023-06-03 12:23:35,1,1,37
42148,2023-06-03 13:17:14,0,1,36
86651,2023-06-03 14:25:15,1,1,24
12975,2023-06-03 14:38:15,0,1,40
73087,2023-06-03 14:38:17,1,0,22
84261,2023-06-03 15:19:25,1,1,34
13463,2023-06-03 15:26:36,0,0,36
78397,2023-06-03 16:27:52,1,0,33
49584,2023-06-03 16:35:35,0,0,27
35078,2023-06-03 17:56:36,1,0,30
11507,2023-06-03 18:25:17,0,1,25
90488,2023-06-03 20:00:07,0,0,30
89431,2023-06-03 21:28:59,1,0,29
27694,2023-06-03 22:05:34,0,0,30
13291,2023-06-03 22:14:55,0,1,31
61001,2023-06-03 22:45:17,1,0,30
65904,2023-06-03 22:53:28,1,1,26
61622,2023-06-04 01:51:23,1,0,30
37778,2023-06-04 04:05:21,0,1,27
95091,2023-06-04 04:18:25,1,0,32
56628,2023-06-04 04:57:36,1,0,29
76048,2023-06-04 09:06:04,0,0,37
5433,2023-06-04 09:13:29,1,0,35
80495,2023-06-04 10:08:37,0,0,34
11259,2023-06-04 13:54:13,0,1,43
23343,2023-06-04 14:35:47,1,0,25
86297,2023-06-04 15:39:02,1,0,26
28825,2023-06-04 15:57:56,1,0,29
94731,2023-06-04 16:05:44,1,1,25
47388,2023-06-04 16:22:29,1,0,37
5872,2023-06-04 16:26:25,0,0,25
61849,2023-06-04 18:22:02,0,1,23
59594,2023-06-04 18:32:29,0,0,35
40996,2023-06-04 19:34:24,1,1,26
821,2023-06-04 21:00:00,0,1,23
49674,2023-06-04 21:03:43,1,0,29
2222,2023-06-04 21:21:02,0,0,20
78202,2023-06-04 22:00:25,0,1,36
87744,2023-06-04 22:30:54,1,0,38
14594,2023-06-05 00:59:31,1,0,34
12140,2023-06-05 01:26:26,0,1,26
6958,2023-06-05 01:41:21,0,1,28
50628,2023-06-05 02:50:25,0,0,35
29403,2023-06-05 04:05:13,1,1,35
63859,2023-06-05 04:22:08,0,0,48
50251,2023-06-05 06:10:34,1,1,31
52806,2023-06-05 06:29:44,0,0,28
88691,2023-06-05 08:41:16,1,1,34
12044,2023-06-05 09:24:13,1,1,36
49357,2023-06-05 10:45:28,1,1,24
90334,2023-06-05 12:00:35,1,0,34
41495,2023-06-05 12:34:44,1,0,32
75377,2023-06-05 13:02:17,1,1,45
90537,2023-06-05 13:11:16,1,1,34
70463,2023-06-05 14:39:28,1,1,31
89349,2023-06-05 15:40:49,1,0,30
97413,2023-06-05 16:46:19,0,1,31
37701,2023-06-05 16:48:11,1,1,25
7443,2023-06-05 17:02:32,1,0,33
18626,2023-06-05 17:37:43,1,1,19
71004,2023-06-05 17:47:44,0,0,33
87857,2023-06-05 18:21:44,0,1,28
10454,2023-06-05 18:25:53,1,1,23
13711,2023-06-05 19:43:14,1,1,24
59866,2023-06-05 20:59:54,1,0,30
42885,2023-06-05 22:52:34,1,1,19
99487,2023-06-05 23:09:00,0,1,27
58625,2023-06-05 23:24:55,1,1,20
83115,2023-06-06 01:53:01,1,0,28
82815,2023-06-06 05:50:18,1,0,29
49734,2023-06-06 06:48:53,1,1,29
34381,2023-06-06 07:46:06,1,0,29
6050,2023-06-06 09:09:39,0,0,32
49844,2023-06-06 12:55:18,1,1,28
16217,2023-06-06 14:48:18,1,0,30
15356,2023-06-06 17:26:41,1,0,21
44291,2023-06-06 18:36:11,1,0,29
41812,2023-06-06 18:45:08,1,0,34
86129,2023-06-06 18:47:33,1,0,37
98531,2023-06-06 18:53:08,0,0,33
21853,2023-06-06 19:54:59,1,1,27
65082,2023-06-06 21:08:31,1,1,28
23265,2023-06-06 21:20:15,1,0,25
37233,2023-06-06 21:28:20,0,0,34
79515,2023-06-06 22:36:13,1,1,26
98943,2023-06-06 23:42:00,0,0,42
82130,2023-06-07 01:58:27,1,0,34
35680,2023-06-07 04:02:01,0,0,40
61710,2023-06-07 04:49:38,1,1,30
56976,2023-06-07 07:07:48,1,0,28
3548,2023-06-07 07:46:23,1,0,23
63039,2023-06-07 08:44:58,0,0,24
83391,2023-06-07 09:14:58,0,0,24
98316,2023-06-07 10:00:37,0,0,27
14435,2023-06-07 13:11:45,1,0,21
89829,2023-06-07 13:40:11,0,0,29
26136,2023-06-07 13:51:43,0,0,29
12265,2023-06-07 14:38:30,1,0,30
33747,2023-06-07 14:43:15,0,0,35
14774,2023-06-07 15:17:01,0,1,36
96244,2023-06-07 16:25:45,1,1,33
64437,2023-06-07 18:00:39,1,1,30
97808,2023-06-07 19:27:46,0,0,26
54413,2023-06-07 19:44:09,1,1,29
64418,2023-06-07 19:56:25,0,0,24
97157,2023-06-07 21:23:43,0,0,30
