user_id,session_start_dttm,test_high_contrast_bucket,desktop_flag,satisfaction_metric,session_duration_min,purchase_flag,purchase_amount_rub
808,2024-06-01 00:15:37,,0,,7,0,0
57128,2024-06-01 00:33:30,,0,,8,0,0
1963,2024-06-01 00:53:54,,1,,4,0,0
23024,2024-06-01 00:58:32,,0,,10,1,344
98256,2024-06-01 01:27:13,,1,,7,0,0
42810,2024-06-01 01:28:32,,0,,8,0,0
36250,2024-06-01 01:45:45,,0,,5,0,0
32531,2024-06-01 01:54:21,,0,,8,0,0
9143,2024-06-01 01:59:24,,0,,5,1,655
8044,2024-06-01 02:01:33,,0,,7,0,0
12914,2024-06-01 02:02:37,,0,,5,0,0
18637,2024-06-01 02:14:53,,1,,3,0,0
52639,2024-06-01 02:28:59,,1,,5,0,0
12291,2024-06-01 02:34:15,,0,,6,0,0
33154,2024-06-01 02:41:11,,0,,8,1,586
89286,2024-06-01 02:54:31,,1,,7,0,0
94427,2024-06-01 03:02:53,,0,,6,1,550
55670,2024-06-01 03:11:07,,0,,8,0,0
7496,2024-06-01 03:24:44,,0,,6,1,558
84211,2024-06-01 03:34:14,,0,,5,0,0
53683,2024-06-01 03:40:34,,0,,6,1,372
27259,2024-06-01 03:42:03,,1,,5,0,0
36191,2024-06-01 03:54:37,,1,,8,0,0
28974,2024-06-01 04:29:13,,1,,8,0,0
52763,2024-06-01 04:44:00,,0,,5,1,286
51855,2024-06-01 04:50:12,,0,,8,0,0
68299,2024-06-01 04:52:31,,0,,4,0,0
21941,2024-06-01 04:53:46,,0,,6,0,0
947,2024-06-01 05:02:02,,0,,6,0,0
59005,2024-06-01 05:10:31,,1,,8,0,0
17803,2024-06-01 05:11:01,,0,,1,0,0
9968,2024-06-01 05:23:05,,1,,8,0,0
96343,2024-06-01 05:23:27,,0,,5,0,0
69687,2024-06-01 05:32:10,,1,,5,0,0
69687,2024-06-01 05:40:32,,0,,6,1,646
98073,2024-06-01 05:48:47,,0,,5,1,485
79159,2024-06-01 05:53:35,,0,,4,0,0
40676,2024-06-01 05:56:11,,0,,2,0,0
63980,2024-06-01 06:07:09,,0,,11,0,0
3346,2024-06-01 06:09:17,,1,,4,0,0
76004,2024-06-01 06:31:21,,1,,8,0,0
25203,2024-06-01 07:12:36,,0,,6,0,0
87485,2024-06-01 07:22:59,,0,,6,0,0
947,2024-06-01 07:23:21,,0,,5,0,0
63198,2024-06-01 07:24:10,,1,,3,0,0
55605,2024-06-01 07:37:53,,0,,3,0,0
36252,2024-06-01 08:02:13,,0,,5,0,0
63198,2024-06-01 08:04:42,,0,,15,1,430
57397,2024-06-01 08:08:29,,0,,5,0,0
64796,2024-06-01 08:09:13,,1,,6,1,561
68209,2024-06-01 08:09:58,,0,,10,1,409
1963,2024-06-01 08:10:55,,0,,6,1,446
40240,2024-06-01 08:38:16,,0,,9,0,0
49643,2024-06-01 08:38:45,,0,,6,0,0
69936,2024-06-01 08:48:43,,0,,6,0,0
47375,2024-06-01 08:58:38,,0,,5,1,349
34457,2024-06-01 09:02:52,,0,,5,1,518
30239,2024-06-01 09:08:55,,0,,4,0,0
13954,2024-06-01 09:20:11,,0,,4,0,0
30425,2024-06-01 09:23:36,,0,,6,0,0
8367,2024-06-01 09:27:36,,0,,8,1,379
59863,2024-06-01 09:29:34,,0,,7,0,0
36133,2024-06-01 09:41:17,,1,,9,0,0
16235,2024-06-01 09:41:27,,1,,8,0,0
92284,2024-06-01 09:53:52,,0,,3,0,0
71149,2024-06-01 10:00:58,,0,,4,1,427
22522,2024-06-01 10:27:10,,0,,3,0,0
44094,2024-06-01 10:28:18,,0,,3,0,0
84003,2024-06-01 10:43:20,,0,,6,0,0
40240,2024-06-01 10:44:14,,0,,10,1,304
92491,2024-06-01 10:46:11,,0,,6,0,0
13245,2024-06-01 11:00:04,,1,,5,0,0
8743,2024-06-01 11:01:59,,1,,5,0,0
94994,2024-06-01 11:02:59,,0,,11,0,0
19452,2024-06-01 11:29:51,,0,,5,0,0
18952,2024-06-01 11:33:29,,1,,5,0,0
61346,2024-06-01 11:43:11,,0,,8,0,0
66354,2024-06-01 11:55:47,,0,,5,1,762
21072,2024-06-01 12:08:08,,0,,8,0,0
85573,2024-06-01 12:11:32,,0,,4,1,437
92724,2024-06-01 12:21:56,,0,,6,0,0
70923,2024-06-01 12:23:31,,0,,5,0,0
72842,2024-06-01 12:26:11,,0,,4,1,503
98996,2024-06-01 12:26:51,,0,,3,1,401
13954,2024-06-01 12:27:37,,1,,2,0,0
13325,2024-06-01 12:32:31,,1,,7,0,0
21072,2024-06-01 12:47:43,,0,,5,0,0
17072,2024-06-01 13:03:03,,1,,8,1,309
9557,2024-06-01 13:07:19,,1,,4,1,444
77954,2024-06-01 13:19:05,,0,,4,0,0
75061,2024-06-01 13:26:26,,1,,4,0,0
32968,2024-06-01 13:32:19,,1,,4,1,478
33244,2024-06-01 13:38:48,,0,,11,0,0
1440,2024-06-01 13:43:14,,1,,4,0,0
81288,2024-06-01 13:51:25,,1,,8,1,411
37612,2024-06-01 13:53:12,,1,,8,0,0
81179,2024-06-01 13:56:29,,1,,7,0,0
66265,2024-06-01 14:06:12,,0,,9,0,0
33154,2024-06-01 14:07:44,,0,,4,1,327
79725,2024-06-01 14:08:54,,0,,3,0,0
78173,2024-06-01 14:20:46,,1,,5,0,0
22442,2024-06-01 14:42:33,,0,,5,1,311
63008,2024-06-01 14:58:47,,1,,6,1,526
38963,2024-06-01 15:04:07,,1,,7,0,0
97106,2024-06-01 15:04:39,,1,,6,1,270
23515,2024-06-01 15:09:48,,0,,8,0,0
48604,2024-06-01 15:11:19,,0,,9,0,0
13229,2024-06-01 15:21:39,,1,,6,0,0
5991,2024-06-01 15:24:48,,1,,4,1,394
24096,2024-06-01 15:26:13,,0,,5,1,662
11517,2024-06-01 15:34:27,,0,,8,0,0
6757,2024-06-01 15:42:21,,1,,10,0,0
29094,2024-06-01 15:42:52,,0,,2,1,370
80182,2024-06-01 16:16:30,,0,,13,1,601
29363,2024-06-01 16:21:23,,1,,6,0,0
27168,2024-06-01 16:40:24,,1,,7,0,0
42810,2024-06-01 17:07:35,,0,,9,0,0
70415,2024-06-01 17:11:20,,1,,3,1,264
58690,2024-06-01 17:13:13,,1,,5,0,0
39795,2024-06-01 17:35:58,,1,,4,0,0
98996,2024-06-01 17:37:53,,0,,3,0,0
76274,2024-06-01 17:38:38,,0,,5,0,0
6149,2024-06-01 17:46:51,,1,,4,0,0
1440,2024-06-01 17:48:36,,0,,13,0,0
71149,2024-06-01 17:49:28,,0,,3,0,0
65868,2024-06-01 18:24:07,,0,,7,0,0
19020,2024-06-01 18:26:10,,0,,2,0,0
70824,2024-06-01 18:30:02,,0,,8,0,0
52031,2024-06-01 18:39:18,,0,,4,0,0
85364,2024-06-01 18:41:31,,0,,6,0,0
16855,2024-06-01 18:43:18,,0,,5,0,0
11853,2024-06-01 18:43:34,,1,,10,1,341
62770,2024-06-01 18:45:05,,0,,5,0,0
66236,2024-06-01 19:02:50,,0,,6,0,0
25568,2024-06-01 19:05:20,,0,,8,0,0
8648,2024-06-01 19:12:42,,0,,11,0,0
78632,2024-06-01 19:12:43,,1,,5,1,335
19861,2024-06-01 19:14:00,,1,,4,0,0
78289,2024-06-01 19:15:42,,0,,8,0,0
62893,2024-06-01 19:19:24,,0,,5,0,0
38744,2024-06-01 19:22:47,,0,,6,1,350
49362,2024-06-01 19:32:34,,0,,8,0,0
38173,2024-06-01 19:42:08,,0,,4,0,0
58185,2024-06-01 19:45:49,,0,,5,0,0
8378,2024-06-01 19:48:27,,0,,6,0,0
74070,2024-06-01 19:52:04,,1,,5,0,0
13849,2024-06-01 19:52:18,,0,,6,0,0
1472,2024-06-01 20:08:00,,1,,2,1,290
41922,2024-06-01 20:08:23,,0,,5,0,0
57824,2024-06-01 20:08:50,,0,,6,1,527
62770,2024-06-01 20:08:52,,0,,5,1,463
15139,2024-06-01 20:11:40,,0,,6,1,337
82674,2024-06-01 20:15:06,,0,,8,1,459
92724,2024-06-01 20:23:32,,0,,7,0,0
50753,2024-06-01 20:25:20,,1,,9,1,597
63658,2024-06-01 20:35:45,,1,,3,0,0
36022,2024-06-01 20:45:28,,0,,6,0,0
9821,2024-06-01 20:47:53,,0,,7,1,490
21698,2024-06-01 20:49:54,,1,,12,0,0
41882,2024-06-01 20:50:15,,0,,8,0,0
32290,2024-06-01 20:56:03,,0,,8,0,0
11031,2024-06-01 21:02:16,,1,,6,0,0
5407,2024-06-01 21:04:45,,0,,4,0,0
20562,2024-06-01 21:05:47,,0,,7,1,367
57786,2024-06-01 21:13:38,,0,,9,0,0
85573,2024-06-01 21:19:42,,1,,9,0,0
2092,2024-06-01 21:24:58,,0,,10,1,381
13858,2024-06-01 21:25:43,,1,,9,0,0
53616,2024-06-01 21:31:35,,0,,3,0,0
63079,2024-06-01 21:34:25,,1,,7,1,325
62938,2024-06-01 21:40:08,,1,,7,0,0
88727,2024-06-01 22:09:59,,0,,8,0,0
82205,2024-06-01 22:10:41,,0,,5,1,544
96693,2024-06-01 22:19:05,,1,,3,0,0
55198,2024-06-01 22:22:53,,1,,5,0,0
40713,2024-06-01 22:23:02,,0,,4,0,0
28681,2024-06-01 22:28:14,,0,,8,0,0
