user_id,session_start_dttm,test_high_contrast_bucket,desktop_flag,satisfaction_metric,session_duration_min,purchase_flag,purchase_amount_rub,rfm_category
96358,2025-01-01 00:54:01,,1,,8,0,0,неактивные
24483,2025-01-01 01:19:52,,0,,2,0,0,почти потерянные
95565,2025-01-01 01:20:36,,0,,5,0,0,почти потерянные
63175,2025-01-01 01:27:36,,0,,3,0,0,почти потерянные
59378,2025-01-01 01:35:29,,0,,9,1,191,
51507,2025-01-01 01:55:22,,0,,6,0,0,лояльные
61625,2025-01-01 01:55:55,,0,,10,1,91,лояльные
16802,2025-01-01 02:14:49,,1,,6,0,0,лояльные
81100,2025-01-01 02:19:59,,0,,5,0,0,лояльные
34087,2025-01-01 02:31:25,,1,,6,0,0,ушедшие
81152,2025-01-01 02:53:00,,0,,4,0,0,неактивные
73692,2025-01-01 03:19:38,,0,,6,1,463,лояльные
85629,2025-01-01 03:26:04,,0,,4,0,0,почти потерянные
95975,2025-01-01 03:39:57,,1,,7,1,83,лояльные
1570,2025-01-01 04:28:24,,0,,5,1,191,почти потерянные
10336,2025-01-01 05:55:37,,0,,1,1,516,неактивные
66814,2025-01-01 06:39:39,,0,,10,1,192,лояльные
93782,2025-01-01 06:46:18,,0,,9,1,171,лояльные
64198,2025-01-01 06:50:58,,0,,7,0,0,лояльные
18593,2025-01-01 07:04:02,,0,,6,1,173,неактивные
44701,2025-01-01 07:28:49,,0,,9,0,0,неактивные
33733,2025-01-01 08:01:53,,0,,3,0,0,лояльные
15350,2025-01-01 08:07:25,,0,,7,0,0,лояльные
56666,2025-01-01 08:13:20,,0,,5,1,106,новые
17711,2025-01-01 08:17:34,,0,,8,0,0,неактивные
40432,2025-01-01 08:21:03,,0,,4,1,307,почти потерянные
46237,2025-01-01 08:30:43,,0,,7,0,0,неактивные
22377,2025-01-01 08:35:53,,1,,5,0,0,лояльные
14505,2025-01-01 08:52:30,,0,,8,0,0,лояльные
41659,2025-01-01 08:54:24,,0,,5,0,0,новые
2092,2025-01-01 09:06:27,,0,,5,0,0,почти потерянные
59492,2025-01-01 09:15:07,,0,,9,1,196,лояльные
