user_id,session_start_dttm,desktop_flag,session_duration_min,purchase_flag,purchase_amount_rub
64217,2025-07-01 00:06:10,0,9,0,0
13858,2025-07-01 00:16:42,0,13,1,624
31759,2025-07-01 00:22:43,0,6,0,0
436,2025-07-01 00:25:31,0,9,1,248
15906,2025-07-01 00:30:19,0,9,0,0
16191,2025-07-01 00:42:41,0,8,0,0
53687,2025-07-01 00:48:37,0,2,0,0
86198,2025-07-01 00:53:32,1,4,1,448
51121,2025-07-01 01:13:48,0,4,0,0
29213,2025-07-01 01:18:49,0,8,0,0
63739,2025-07-01 01:37:00,0,8,0,0
36884,2025-07-01 01:39:57,0,12,0,0
73633,2025-07-01 01:43:25,1,7,1,292
22147,2025-07-01 02:27:43,0,6,1,373
44143,2025-07-01 02:28:27,0,6,1,615
89889,2025-07-01 02:31:15,0,4,0,0
61483,2025-07-01 03:19:46,0,6,0,0
35065,2025-07-01 03:39:28,1,2,0,0
36884,2025-07-01 03:46:43,0,8,0,0
20940,2025-07-01 03:51:29,0,5,1,367
29201,2025-07-01 03:51:40,0,5,0,0
79194,2025-07-01 04:06:27,0,4,0,0
47335,2025-07-01 04:15:57,0,8,1,339
1067,2025-07-01 04:24:24,0,9,0,0
78110,2025-07-01 04:27:02,0,5,1,775
84397,2025-07-01 04:42:05,0,5,0,0
69709,2025-07-01 04:46:43,0,4,1,602
40007,2025-07-01 04:54:28,1,7,0,0
48420,2025-07-01 05:01:16,0,5,1,997
8083,2025-07-01 05:06:01,1,7,0,0
6558,2025-07-01 05:10:15,1,4,0,0
31759,2025-07-01 05:11:52,1,5,0,0
4366,2025-07-01 05:13:42,0,4,0,0
47204,2025-07-01 05:25:45,0,7,0,0
41317,2025-07-01 05:28:11,0,3,1,522
81533,2025-07-01 05:30:41,1,6,0,0
91522,2025-07-01 05:31:41,1,6,0,0
83358,2025-07-01 05:33:51,1,13,1,428
65469,2025-07-01 05:35:02,1,3,1,420
62560,2025-07-01 05:49:52,0,8,0,0
69125,2025-07-01 05:53:47,0,5,0,0
18317,2025-07-01 05:58:39,1,1,1,563
66798,2025-07-01 05:59:51,0,3,1,346
67901,2025-07-01 06:04:09,0,4,0,0
79609,2025-07-01 06:28:07,0,3,0,0
29784,2025-07-01 06:39:48,0,6,0,0
65907,2025-07-01 06:43:33,1,7,0,0
70960,2025-07-01 06:45:59,0,5,0,0
87715,2025-07-01 06:48:46,0,5,0,0
57505,2025-07-01 06:53:14,0,13,0,0
47980,2025-07-01 06:53:16,0,3,0,0
76469,2025-07-01 06:55:50,0,4,0,0
75700,2025-07-01 07:03:14,0,7,0,0
65499,2025-07-01 07:07:13,0,6,1,284
54197,2025-07-01 07:10:12,0,9,0,0
83905,2025-07-01 07:12:33,0,4,0,0
32131,2025-07-01 07:26:33,1,7,1,276
26492,2025-07-01 07:32:09,0,10,1,812
14380,2025-07-01 07:39:31,0,5,0,0
